2412,20,20,20,20
2484,20,20,20,20
4960,20.4,20.38,20.34,20.36
5180,20.41,20.39,20.44,20.46
5500,20.44,20.45,20.47,20.49
5785,20.48,20.51,20.5,20.49
5825,20.57,20.59,20.54,20.56
